205	liver
205	monocytes
205	myeloid dc
206	artery - tibial
206	cells - cultured fibroblasts
206	cells - ebv-transformed lymphocytes
207	eosinophil
207	granulocytes
207	mcf7
210	liver
211	adrenal gland
211	basophil
211	granulocytes
211	liver
212	bone marrow
212	dendritic cells
212	hel
212	k-562
212	placenta
212	plasmacytoid dc
213	hep g2
213	liver
213	naive cd4 t-cell
213	t-cells
213	testis
214	dendritic cells
214	htert-hme1
214	myeloid dc
214	parathyroid gland
214	u-138 mg
215	caco-2
215	efo-21
215	hep g2
215	intestine
215	intestine
215	pc-3
215	plasmacytoid dc
215	sk-br-3
215	u-698
216	a549
216	brain
216	classical monocyte
216	heart muscle
216	hep g2
216	liver
216	monocytes
216	rpmi-8226
216	rptec tert1
216	u-266/70
217	asc diff
217	classical monocyte
217	dendritic cells
217	hhstec
217	liver
217	monocytes
217	myeloid dc
217	sk-br-3
217	thp-1
218	a549
218	esophagus
218	lymphoid tissue
218	nk-cell
218	pons and medulla
218	stomach 1
218	tongue
219	smooth muscle
220	a-431
220	basophil
220	dendritic cells
220	eosinophil
220	granulocytes
220	hacat
220	hbec3-kt
220	plasmacytoid dc
220	u-2197
220	u-87 mg
220	wm-115
222	breast
222	esophagus
222	lymphoid tissue
222	mcf7
222	naive b-cell
222	sk-br-3
222	skin 1
224	a549
225	adipose tissue
225	asc diff
225	brain
225	hdlm-2
225	karpas-707
225	sh-sy5y
225	t-cells
225	u-266/70
229	bewo
229	intestine
229	kidney
229	liver
229	nb-4
229	rpmi-8226
229	sh-sy5y
231	a549
231	adrenal gland
231	bj htert+
231	rptec tert1
231	seminal vesicle
231	u-87 mg
238	brain
238	pituitary gland
238	sh-sy5y
239	a-431
239	cervix, uterine
239	esophagus
239	hel
239	neutrophil
239	tongue
239	vagina
240	bewo
240	blood
240	bone marrow
240	daudi
240	hmc-1
240	karpas-707
240	lymphoid tissue
240	rt4
240	u-266/70
240	u-698
241	basophil
241	blood
241	bone marrow
241	dendritic cells
241	eosinophil
241	granulocytes
241	hdlm-2
241	hl-60
241	hmc-1
241	neutrophil
241	plasmacytoid dc
241	thp-1
241	u-937
242	a549
242	basophil
242	granulocytes
242	hek 293
242	htcepi
242	reh
242	skin 1
242	tongue
242	u-266/84
245	cells - ebv-transformed lymphocytes
245	esophagus - mucosa
245	fallopian tube
245	kidney - cortex
245	kidney - medulla
245	liver
245	minor salivary gland
245	pituitary
245	prostate
245	skin - not sun exposed (suprapubic)
245	skin - sun exposed (lower leg)
245	testis
245	thyroid
245	vagina
246	adipose tissue
246	blood
246	eosinophil
246	granulocytes
246	hmc-1
246	lung
246	mcf7
246	t-47d
247	breast
247	classical monocyte
247	dendritic cells
247	esophagus
247	hhstec
247	hskmc
247	htcepi
247	lung
247	monocytes
247	myeloid dc
247	prostate
248	caco-2
248	efo-21
248	intestine
248	pancreas
248	u-2 os
248	u-698
249	blood
249	granulocytes
249	hskmc
249	htec/svtert24-b
249	lhcn-m2
249	liver
249	lung
249	neutrophil
249	sclc-21h
251	basal ganglia
251	capan-2
251	dendritic cells
251	fallopian tube
251	hacat
251	lung
251	ntera-2
251	plasmacytoid dc
251	retina
251	sh-sy5y
251	testis
257	naive cd8 t-cell
257	retina
258	basal ganglia
258	brain
258	hek 293
259	heart muscle
259	hep g2
259	hep g2
259	hskmc
259	k-562
259	liver
259	skeletal muscle
259	thp-1
259	u-266/84
262	prostate
265	amygdala
265	ductus deferens
265	epididymis
265	k-562
265	seminal vesicle
266	epididymis
266	prostate
266	thyroid gland
268	blood
268	bone marrow
268	classical monocyte
268	esophagus
268	granulocytes
268	hek 293
268	monocytes
268	neutrophil
268	ntera-2
268	reh
268	sh-sy5y
268	sk-br-3
268	testis
268	tongue
269	adrenal gland
269	hel
269	k-562
269	ovary
269	testis
270	b-cells
270	blood
270	bone marrow
270	esophagus
270	granulocytes
270	htert-hme1
270	memory b-cell
270	neutrophil
270	skeletal muscle
270	u-266/70
271	bone marrow
271	dendritic cells
271	granulocytes
271	monocytes
272	bj htert+
272	bone marrow
272	capan-2
272	hmc-1
272	skeletal muscle
273	asc diff
273	asc tert1
273	bj htert+ sv40 large t+
273	bj htert+ sv40 large t+ rasg12v
273	brain
273	hbf tert88
273	hskmc
273	u-138 mg
273	wm-115
274	b-cells
274	gdt-cell
274	mait t-cell
274	memory b-cell
274	memory cd4 t-cell
274	memory cd8 t-cell
274	naive b-cell
274	naive cd4 t-cell
274	naive cd8 t-cell
274	nk-cell
274	nk-cells
274	rptec tert1
274	skeletal muscle
274	t-cells
274	t-reg
279	pancreas
279	thp-1
279	u-2 os
280	asc tert1
280	classical monocyte
280	efo-21
280	pancreas
281	pancreas
283	classical monocyte
283	hep g2
283	liver
283	myeloid dc
284	asc diff
284	granulocytes
284	granulocytes
284	hel
284	hep g2
284	hskmc
284	liver
284	neutrophil
284	neutrophil
284	u-138 mg
284	wm-115
285	basophil
285	hmc-1
285	hskmc
285	huvec tert2
285	wm-115
286	b-cells
286	cerebellum
286	dendritic cells
286	hel
286	hela
286	k-562
286	memory b-cell
286	naive b-cell
286	plasmacytoid dc
286	rh-30
286	skeletal muscle
286	tongue
287	asc diff
287	asc tert1
287	brain
287	heart muscle
287	kidney
287	rh-30
287	sh-sy5y
287	skeletal muscle
288	brain
288	parathyroid gland
288	rt4
288	sk-br-3
293	blood
301	esophagus
301	tongue
304	adipose - subcutaneous
304	adipose - visceral (omentum)
304	adrenal gland
304	artery - aorta
304	artery - coronary
304	artery - tibial
304	bladder
304	breast - mammary tissue
304	cells - cultured fibroblasts
304	cells - ebv-transformed lymphocytes
304	cervix - ectocervix
304	cervix - endocervix
304	colon - sigmoid
304	colon - transverse
304	esophagus - gastroesophageal junction
304	esophagus - mucosa
304	esophagus - muscularis
304	fallopian tube
304	heart - atrial appendage
304	kidney - cortex
304	kidney - medulla
304	lung
304	minor salivary gland
304	muscle - skeletal
304	nerve - tibial
304	ovary
304	pituitary
304	prostate
304	skin - not sun exposed (suprapubic)
304	skin - sun exposed (lower leg)
304	small intestine - terminal ileum
304	spleen
304	stomach
304	testis
304	thyroid
304	uterus
304	vagina
304	whole blood
306	a-431
306	bone marrow
306	caco-2
306	capan-2
306	efo-21
306	granulocytes
306	htert-hme1
306	neutrophil
306	rptec tert1
307	efo-21
307	gallbladder
307	hep g2
307	pancreas
307	rptec tert1
309	asc diff
310	pc-3
312	a549
312	ductus deferens
312	gallbladder
312	hdlm-2
312	intestine
312	midbrain
313	blood
313	classical monocyte
